Log Price,Log Volume,Log Market Cap,Price Range Pct (24h),Volume To Market Cap,Distance From Ath Pct,Distance From Atl Pct,Mc Rank Inv,Profitable (24h)
11.436076817517693,25.025981378753446,28.245307829546316,0.022062158484697954,0.03998197902315836,-26.25007,137026.07907,0.5,0
8.05930467690021,24.164897222126047,26.667835295099962,0.06085532037355035,0.08184418084880082,-35.79261,733360.4664,0.3333333333333333,1
1.144222799920162,21.926851040164742,25.585230476239186,0.032710280373831696,0.02577424770863797,-41.15497,79778.89652,0.2,0
6.809028268454472,21.35657449113592,25.548874866309657,0.03793412081901462,0.015111482771733008,-33.66122,2282392.06192,0.16666666666666666,1
4.966962016306286,22.464887067435686,25.10350510664727,0.04530471982607462,0.07145995619593207,-51.26962,28440.67234,0.14285714285714285,1
0.6930361743989893,22.713208221403217,25.080301128058643,0.0002600577328167233,0.0937528788584793,-14.74788,13.91337,0.125,0
8.060208447517766,17.03855544022302,24.03359483054202,0.05751117711180271,0.0009164166578005722,-35.59691,557.89208,0.1111111111111111,1
0.24787128523903948,20.12743469946492,24.005486713325546,0.00961979416626668,0.020691091872946057,-34.80651,15483.07553,0.1,1
0.1391948250727975,20.962013230236973,23.845937162549827,0.034222085330905025,0.05591492537843811,-79.57494,171843.39262,0.09090909090909091,0
0.369303763643696,20.618934362754867,23.518746472282608,0.05214817998464383,0.05503355930878352,-85.52247,2221.27202,0.08333333333333333,1
0.6941466808930289,19.991011085152397,23.366250872729456,0.022954091816367175,0.034209914146929435,-26.82092,545.13699,0.07692307692307693,1
4.147411283158793,18.84933420536471,23.3147256588447,0.017986189176168257,0.011500193014100673,-1.33764,1935.10247,0.07142857142857142,1
8.259183830575687,17.744606507707275,23.27638013121131,0.05585275794030986,0.003958961074394791,-46.51706,594.79938,0.06666666666666667,1
11.433860612373874,19.165620956510217,23.168972471753587,0.0257475892074418,0.018254356412521332,-26.41861,2851.81139,0.0625,0
6.360784208579793,20.074644990959346,23.167954550446048,0.05135883676648772,0.04535161181789706,-84.76038,649.91371,0.058823529411764705,0
8.14031262470384,17.605529147735798,23.13844489612174,0.06176162660141914,0.003954442016038582,-35.4236,129.25039,0.05555555555555555,1
